Broker Reference,Entry Number,Master Bills,House Bills,Customer Number,Arrival Date,Invoice Line - PO Number,Invoice Line - Part Number,Invoice Line - Country Origin Code,Invoice Line - Units,Mawb/BillofLading,PO,Shipment,Mode,Style,ColorCode,Size,Dimensions,SKUID,SAPLineNo,ASNPieces,POPieces,POShipDate,POShipMode,ASNShipMode,UnitCost
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574920,21021,CN,127,APLU031970557,2574920,1,SEA,21021,WT0002,XS,NULL,21021WT0002XS,101,127,130,12/23/2009,Sea,Sea,$18.93
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,0,NULL,24892BR58040,102,40,50,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,12,NULL,24892BR580412,108,23,21,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,10,NULL,24892BR580410,107,26,29,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,8,NULL,24892BR58048,106,38,39,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,6,NULL,24892BR58046,105,51,50,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,4,NULL,24892BR58044,104,80,86,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,4016516,24892,CN,340,APLU031970557,4016516,2,SEA,24892,BR5804,2,NULL,24892BR58042,103,82,79,12/23/2009,Sea,Sea,$14.48
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,4,NULL,22526NA64454,135,486,468,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,6,NULL,22526NA64456,136,437,421,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,8,NULL,22526NA64458,137,341,328,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,10,NULL,22526NA644510,138,243,234,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,12,NULL,22526NA644512,139,144,140,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,14,NULL,22526NA644514,140,72,70,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,0,NULL,22526GR622200,142,41,41,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,0,NULL,22526GR62220,143,144,141,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,2,NULL,22526GR62222,144,232,224,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,4,NULL,22526GR62224,145,288,280,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,6,NULL,22526GR62226,146,262,252,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,8,NULL,22526GR62228,147,204,197,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,10,NULL,22526GR622210,148,144,140,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,2,NULL,22526NA64452,134,388,374,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,0,NULL,22526NA64450,133,243,234,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,NA6445,0,NULL,22526NA644500,132,72,71,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,14,NULL,22526GY639314,131,133,128,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,12,NULL,22526GY639312,130,264,255,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,10,NULL,22526GY639310,129,438,425,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,8,NULL,22526GY63938,128,588,595,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,6,NULL,22526GY63936,127,794,765,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,4,NULL,22526GY63934,126,884,850,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,2,NULL,22526GY63932,125,700,680,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,0,NULL,22526GY63930,124,442,425,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GY6393,0,NULL,22526GY639300,123,132,127,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,14,NULL,22526GR622214,122,42,42,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,GR6222,12,NULL,22526GR622212,121,86,83,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,14,NULL,22526BK000114,113,165,159,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,12,NULL,22526BK000112,112,330,318,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,10,NULL,22526BK000110,111,546,530,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,8,NULL,22526BK00018,110,761,742,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,6,NULL,22526BK00016,109,992,954,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,4,NULL,22526BK00014,108,1102,1060,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,2,NULL,22526BK00012,107,864,848,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,0,NULL,22526BK00010,106,549,530,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2575775,22526,CN,13718,APLU031970557,2575775,1,SEA,22526,BK0001,0,NULL,22526BK000100,105,165,159,12/23/2009,Sea,Sea,$11.27
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,8,NULL,22366GR17058,116,33,33,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,10,NULL,22366GR170510,117,24,24,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,12,NULL,22366GR170512,118,15,15,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,14,NULL,22366GR170514,119,2,2,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,6,NULL,22366GR17056,115,51,51,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,4,NULL,22366GR17054,114,59,59,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,2,NULL,22366BR64072,105,21,21,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,0,NULL,22366BR64070,104,11,11,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,2,NULL,22366GR17052,113,48,48,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,GR1705,0,NULL,22366GR17050,112,34,34,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,14,NULL,22366BR640714,111,5,5,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,12,NULL,22366BR640712,110,8,8,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,10,NULL,22366BR640710,109,11,11,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,8,NULL,22366BR64078,108,13,13,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,6,NULL,22366BR64076,107,12,12,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1576330,22366,CN,358,APLU031970557,1576330,1,SEA,22366,BR6407,4,NULL,22366BR64074,106,11,11,12/23/2009,Sea,Sea,$27.25
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T2,NULL,17897WT0002T2,102,19,18,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T14,NULL,17897WT0002T14,108,31,29,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T12,NULL,17897WT0002T12,107,40,35,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T10,NULL,17897WT0002T10,106,38,38,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T8,NULL,17897WT0002T8,105,54,54,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T6,NULL,17897WT0002T6,104,50,50,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581818,17897,CN,262,APLU031970557,1581818,1,SEA,17897,WT0002,T4,NULL,17897WT0002T4,103,30,26,12/23/2009,Sea,Sea,$19.57
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,0,NULL,17668WT00020,102,86,86,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,2,NULL,17668WT00022,103,115,114,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,4,NULL,17668WT00024,104,176,175,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,6,NULL,17668WT00026,105,185,184,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,8,NULL,17668WT00028,106,160,161,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,10,NULL,17668WT000210,107,115,111,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,12,NULL,17668WT000212,108,82,85,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1580178,17668,CN,999,APLU031970557,1580178,1,SEA,17668,WT0002,14,NULL,17668WT000214,109,80,80,12/23/2009,Sea,Sea,$19.90
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P2,NULL,17895WT0002P2,103,46,41,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P0,NULL,17895WT0002P0,102,57,65,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P12,NULL,17895WT0002P12,108,20,18,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P10,NULL,17895WT0002P10,107,24,26,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P8,NULL,17895WT0002P8,106,21,21,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P6,NULL,17895WT0002P6,105,26,24,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,1581817,17895,CN,228,APLU031970557,1581817,1,SEA,17895,WT0002,P4,NULL,17895WT0002P4,104,34,39,12/23/2009,Sea,Sea,$19.01
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,WT0002,L,NULL,11454WT0002L,111,532,507,12/23/2009,Sea,Sea,$11.79
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,PR5720,XS,NULL,11454PR5720XS,103,743,708,12/23/2009,Sea,Sea,$11.99
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,PR5720,S,NULL,11454PR5720S,104,1292,1231,12/23/2009,Sea,Sea,$11.99
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,WT0002,XL,NULL,11454WT0002XL,112,195,186,12/23/2009,Sea,Sea,$11.79
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,PR5720,M,NULL,11454PR5720M,105,1253,1194,12/23/2009,Sea,Sea,$11.99
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,PR5720,L,NULL,11454PR5720L,106,665,634,12/23/2009,Sea,Sea,$11.99
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,PR5720,XL,NULL,11454PR5720XL,107,244,233,12/23/2009,Sea,Sea,$11.99
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,WT0002,XS,NULL,11454WT0002XS,108,595,567,12/23/2009,Sea,Sea,$11.79
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,WT0002,S,NULL,11454WT0002S,109,1034,985,12/23/2009,Sea,Sea,$11.79
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,2574685,11454,CN,7555,APLU031970557,2574685,1,SEA,11454,WT0002,M,NULL,11454WT0002M,110,1002,955,12/23/2009,Sea,Sea,$11.79
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,7-Jun,NULL,24141OR52176-7,108,24,23,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,8,NULL,24141OR52178,103,21,20,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,10,NULL,24141OR521710,104,21,20,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,12,NULL,24141OR521712,105,18,18,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,14,NULL,24141OR521714,106,29,28,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,8018502,24141,CN,129,APLU031970557,8018502,1,SEA,24141,OR5217,5-Apr,NULL,24141OR52174-5,107,16,16,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,5021201,24141,CN,276,APLU031970557,5021201,1,SEA,24141,OR5217,8,NULL,24141OR52178,102,50,48,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,5021201,24141,CN,276,APLU031970557,5021201,1,SEA,24141,OR5217,10,NULL,24141OR521710,103,45,43,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,5021201,24141,CN,276,APLU031970557,5021201,1,SEA,24141,OR5217,12,NULL,24141OR521712,104,27,26,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,5021201,24141,CN,276,APLU031970557,5021201,1,SEA,24141,OR5217,5-Apr,NULL,24141OR52174-5,106,74,71,12/23/2009,Sea,Sea,$22.55
436455,31604364559,APLU031970557,NULL,JCREW,1/10/2010,5021201,24141,CN,276,APLU031970557,5021201,1,SEA,24141,OR5217,7-Jun,NULL,24141OR52176-7,107,80,77,12/23/2009,Sea,Sea,$22.55
